Time_s,Alt_km,Lat_deg,Lon_deg,Vel_km_s,Battery_SOC_%,Battery_Temp_K,Att_Err_deg,RW_Momentum_Nms,Angular_Rate_deg_s,Eclipse,Solar_W,CPU_Temp_K,Link_Active,Range_km,Elevation_deg,Doppler_Hz,VerifiedCmds,Attack_Active
110,999.9359918954224,0.0,6.85939266805865,7.353760104328844,80.01484465685695,320,5.710127472314229,0.0419443846062855,0.05472087968468818,0,229.05879573485402,332.4237750240039,0,11207.593475794158,-51.56904602359548,-23202.59750750175,5,0
120,999.9248948810464,0.0,7.4310161897547236,7.353771188796538,80.01586742685016,320,5.182049979511394,0.04900335294650765,0.07630963242322342,0,228.63943951207105,332.66530333807464,0,11239.098176403331,-51.82263522716083,-23036.134656509606,6,0
130,999.9129152542864,0.0,8.002641501085476,7.353783154899992,80.0168873226701,320,4.461281812658805,0.05541967159772782,0.09771625196821447,0,228.43249903524406,333.0939036031892,0,11270.375426555142,-52.075683179473934,-22868.774237275622,3,0
140,999.9000542017639,0.0,8.574268738864792,7.353796001458224,80.01791017763003,320,3.6163438823672105,0.05976138719942836,0.11124487756294817,0,228.6455571149084,331.90119933948483,0,11301.424009970788,-52.328179820445335,-22700.52626005756,4,0
150,999.8863129974197,0.0,9.14589803971781,7.353809727203332,80.01890598204783,320,2.75726868387139,0.06291727346285755,0.12256807584840419,0,226.69791808084622,334.4534329340185,0,11332.242723948784,-52.58011483526458,-22531.40064220116,4,0
160,999.8716930023957,0.0,9.717529540067526,7.353824330780624,80.01990695402347,320,2.1667139253252765,0.06508872943912794,0.13195184804853538,0,227.06998224560436,333.7596300642971,0,11362.830379240098,-52.83147764706711,-22361.407210727422,5,0
170,999.8561956648973,0.0,10.289163376121424,7.35383981074874,80.02092363086452,320,2.1409485235196786,0.066518413240245,0.13841340433218652,0,228.20073255664136,332.9741118948032,0,11393.185799926805,-53.082257409406566,-22190.555704847804,6,0
180,999.8398225200581,0.0,10.860799683858122,7.353856165579797,80.02193565083125,320,2.7352081888450663,0.06584400504222082,0.13821416971118491,0,227.86543760456073,332.47815520446204,0,11423.3078233041,-53.33244299852695,-22018.855778409543,6,0
190,999.8225751897862,0.0,11.432438599014038,7.353873393659529,80.02295756844606,320,3.708797937167359,0.0657022533860141,0.13762740021875344,0,228.57806826620117,331.4694022880969,0,11453.195299765599,-53.582023005429775,-21846.31700227308,5,0
200,999.8044553826112,0.0,12.004080257070084,7.353891493287439,80.02397491275238,320,4.697381271560675,0.06081051964915282,0.11879855875138765,0,228.24879005420846,330.9253160021289,0,11482.847092691834,-53.83098572773143,-21672.94886662382,5,0
210,999.7854648935154,0.0,12.575724793238377,7.353910462676971,80.02497561761898,320,5.429768875014881,0.05244541257345585,0.08901204278182615,0,227.05075039535737,329.74585305705045,0,11512.262078341859,-54.07931916130537,-21498.76078321982,6,0
220,999.7656056037622,0.0,13.147372342448984,7.353930299955672,80.02599333681263,320,6.011096662981651,0.04791746550058758,0.07739374598493866,0,228.27578194264225,331.9812338960834,0,11541.439145747872,-54.32701099170447,-21323.762087577605,5,0
230,999.7448794807133,0.0,13.719023039336678,7.353951003165372,80.02700092407967,320,6.323663604063206,0.04035251045474124,0.060265642852613426,0,227.54628322707146,331.10219595607003,0,11570.377196612779,-54.5740485853594,-21147.96204109773,5,0
240,999.7232885776375,0.0,14.290677018227738,7.353972570262377,80.02800190784272,320,6.354957609983747,0.03226067110275297,0.03712691273826501,0,227.07083094017824,331.23133107656037,0,11599.07514521061,-54.82041898054753,-20971.369833132012,5,0
250,999.7008350335091,0.0,14.862334413126773,7.3539949991176545,80.02900621311068,320,6.070039191844097,0.02388868560637024,0.04747786058363963,0,227.30997929177605,330.05068714470104,0,11627.531918289715,-55.06610887812875,-20793.994582994026,6,0
260,999.6775210728056,0.0,15.433995357703562,7.354018287517048,80.02999218346282,320,5.591752200869045,0.017896642143150773,0.06676243268969104,0,225.98986535457405,331.5094283822755,0,11655.74645497866,-55.31110463204365,-20615.845341914544,6,0
270,999.6533490052898,0.0,16.005659985279948,7.35404243316148,80.03095661995494,320,4.826028387941043,0.011290788280718052,0.09206345569414166,0,224.43942743249062,331.62333158420216,0,11683.717706694755,-55.555392239570374,-20436.93109494365,4,0
280,999.6283212257822,0.0,16.577328428816745,7.354067433667173,80.03191921109386,320,3.840988686243009,0.010844196604636048,0.10883919982355302,0,224.30656200200679,333.2613591999694,0,11711.444637055138,-55.798957331336,-20257.260762800895,5,0
290,999.6024402139365,0.0,17.149000820900685,7.354093286565882,80.03289948150427,320,2.8560751618394713,0.013559988938048584,0.10831855778955325,0,225.57946955023215,335.027693637962,0,11738.926221790338,-56.04178516107973,-20076.843203675144,5,0
300,999.575708533991,0.0,17.720677293731406,7.3541199893051274,80.03385442052192,320,1.80176263063285,0.013819526041076802,0.1255980051627252,0,223.75560927152125,334.4838654079887,0,11766.161448660276,-56.283860595164526,-19895.687214975555,3,0
310,999.5481288345254,0.0,18.292357979108477,7.354147539248437,80.03479584187978,320,1.115878481818086,0.015135792017598544,0.1323450906159127,0,222.78233776514472,334.32250828574143,0,11793.14931737259,-56.52516810183443,-19713.801535035116,6,0
320,999.5197038482011,0.0,18.864043008418424,7.354175933675601,80.03572701224566,320,1.5639125665999434,0.01628386317800539,0.1335438910338863,0,222.04426634366965,335.7005265048399,0,11819.888839503279,-56.765691740216006,-19531.19484476804,3,0
330,999.4904363914966,0.0,19.43573251262187,7.354205169782932,80.03663713802233,320,2.637239326321123,0.016695715019129902,0.1344945814344535,0,220.5290559204476,335.9956136764185,0,11846.379038419565,-57.00541514906131,-19347.87576928247,6,0
340,999.4603293644359,0.0,20.007426622240622,7.35423524468353,80.03757533088242,320,3.702676179126623,0.017504607964761734,0.12078169511585339,0,222.54988592539783,334.59970890874223,0,11872.618949204898,-57.244321535232814,-19163.852879449732,5,0
350,999.4293857503053,0.0,20.57912546734488,7.354266155407564,80.03849907002196,320,4.66640962784641,0.017812832453037896,0.10793920950665645,0,221.50921804710657,335.9237814061517,0,11898.60761858613,-57.48239366192799,-18979.13469343138,6,0
360,999.3976086153634,0.0,21.15082917754043,7.354297898902551,80.03942692929768,320,5.659252511966892,0.017055116534342416,0.1052874212867303,0,221.80586785228508,334.6810449538393,0,11924.34410486267,-57.719613836645586,-18793.729678165222,4,0
370,999.3650011085465,0.0,21.72253788195592,7.354330472033651,80.04035178675792,320,6.665231756224975,0.01763647924048335,0.10507230151390164,0,221.58973713817642,334.6436806133232,0,11949.82747783769,-57.95596389889348,-18607.64625081171,2,0
380,999.3315664611582,0.0,22.294251709230164,7.354363871583966,80.04129465895882,320,7.357496904536297,0.02224866063384491,0.07577777300787483,0,222.88679846390116,333.9867447574316,0,11975.056818751258,-58.191425207640705,-18420.89278016146,5,0
390,999.2973079865615,0.0,22.86597078749947,7.354398094254847,80.04221565027085,320,8.03207782255438,0.021560166975234683,0.07063443588047583,0,221.31137446657036,333.77400230019197,0,12000.031220215351,-58.42597862851654,-18233.477588005408,4,0
400,999.2622290798527,0.0,23.437695244385058,7.354433136666212,80.04314107443913,320,8.328536915471101,0.030011924296852416,0.04408672639649323,0,221.63054011677283,332.98692410331347,0,12024.749786150729,-58.65960452076003,-18045.408950468445,5,0
410,999.2263332175326,0.0,24.009425206980488,7.354468995356868,80.04408897575922,320,8.135290566384555,0.0394652011270689,0.033055942753571106,0,223.2488950460435,334.74360443479134,0,12049.2116317256,-58.892282723926016,-17856.695099307588,4,0
420,999.1896239571697,0.0,24.58116080183917,7.354505666784842,80.04501399390547,320,7.563968599183258,0.04789118290458067,0.06305548175598888,0,221.6013065297361,333.2598879301058,0,12073.415883296015,-59.12399254435373,-17667.34422317588,5,0
430,999.1521049370558,0.0,25.152902154961904,7.354543147327724,80.0459426759576,320,6.5483529653459875,0.05749289086487129,0.10389284458287901,0,221.86510775407726,333.8677750820236,0,12097.361678347976,-59.354712741405315,-17477.364468852713,5,0
440,999.1137798758509,0.0,25.724649391784453,7.354581433283006,80.04685296749166,320,5.175647927353645,0.06470752815553998,0.13808265361037575,0,220.54099045291576,333.200847078128,0,12121.048165441198,-59.584421513484536,-17286.763942441787,5,0
