Time_s,Alt_km,Lat_deg,Lon_deg,Vel_km_s,Battery_SOC_%,Battery_Temp_K,Att_Err_deg,RW_Momentum_Nms,Angular_Rate_deg_s,Eclipse,Solar_W,CPU_Temp_K,Link_Active,Range_km,Elevation_deg,Doppler_Hz,VerifiedCmds,Attack_Active
420,999.1896239571697,0.0,24.58116080183917,7.354505666784842,80.04885237728222,320,2.64284459866757,0.06723715193254397,0.13855350694792223,0,236.57729817746164,337.7152844078841,0,12073.415883296015,-59.12399254435373,-17667.34422317588,5,0
430,999.1521049370558,0.0,25.152902154961904,7.354543147327724,80.04998640475424,320,3.475550106688379,0.06252681104934107,0.12000264896191587,0,236.64997798528478,337.78584974127966,0,12097.361678347976,-59.354712741405315,-17477.364468852713,5,0
440,999.1137798758509,0.0,25.724649391784453,7.354581433283006,80.05114066843807,320,4.389905879370953,0.059914289614415035,0.11091771146481721,0,238.1069852354975,338.49747006313066,0,12121.048165441198,-59.584421513484536,-17286.763942441787,5,0
450,999.0746525722216,0.0,26.296402637165215,7.354620520868449,80.05227583713425,320,5.282186930208426,0.05909076492989409,0.10776471080522844,0,236.73214612462414,340.4981161455562,0,12144.474504154474,-59.81309648384635,-17095.550710537547,3,0
460,999.0347269044742,0.0,26.868162015372917,7.354660406222432,80.05338311464354,320,5.996522233797236,0.05231078091560096,0.08169070811813718,0,234.72398066927232,338.82607283153675,0,12167.639865032617,-60.040714686209895,-16903.732801360864,4,0
470,998.9940068301748,0.0,27.439927650074374,7.354701085404328,80.05449433641493,320,6.634527561586444,0.051481399553625205,0.08439785322085747,0,235.00796754022122,337.6991003836664,0,12190.543429534926,-60.26725255019033,-16711.31820586509,4,0
480,998.9524963857675,0.0,28.011699664322286,7.354742554394891,80.05561053106149,320,7.314527770884953,0.051454155322966884,0.08371782403662825,0,235.3660145526699,339.77801721716384,0,12213.184389985136,-60.492685886566505,-16518.314878813082,3,0
490,998.9101996861818,0.0,28.583478180543125,7.354784809096621,80.0567064843217,320,7.675076447155064,0.04209947268078308,0.05036603937606642,0,233.90863473444932,339.03116362371463,0,12235.561949522818,-60.71698987240318,-16324.730739826175,3,0
500,998.8671209244303,0.0,29.15526332052506,7.354827845334178,80.05779614228774,320,7.631045549233017,0.03146175614933154,0.04072718375826082,0,233.45537355549357,340.0031792059092,0,12257.675322056199,-60.940139036050766,-16130.573674405825,5,0
510,998.8232643712045,0.0,29.727055205405918,7.354871658854769,80.05890503002074,320,7.2114904263035315,0.021121034539056092,0.05809966663212269,0,234.83991677630547,341.03758777019965,0,12279.523732216336,-61.162107242045735,-15935.851534928763,5,0
520,998.7786343744565,0.0,30.298853955661293,7.35491624532856,80.06003599370433,320,6.416499484404116,0.01076703301750302,0.09491153332777486,0,236.42938521730397,341.54338334678744,0,12301.106415312652,-61.38286767594091,-15740.572141616316,5,0
530,998.7332353589763,0.0,30.870659691092605,7.354961600349093,80.06119051699896,320,5.345327211067099,0.0028231188426986295,0.12391879288901314,0,238.12567721363803,340.0189571423301,0,12322.422617289758,-61.60239282909451,-15544.743283478694,5,0
540,998.6870718259652,0.0,31.442472530815255,7.355007719433708,80.06232379757782,320,4.103125961015896,0.005079498006693172,0.13969784919469935,0,236.59620167824198,338.10837779324794,0,12343.47159468555,-61.820654483453616,-15348.372719234952,5,0
550,998.6401483525933,0.0,32.014292593246935,7.355054598023972,80.06348422030932,320,2.832686074996858,0.008791820061852938,0.15260792599784906,0,238.5504366681644,339.1283057304819,0,12364.252614590552,-62.03762369636812,-15151.46817820928,5,0
560,998.5924695915573,0.0,32.58611999609588,7.355102231486118,80.06466973044824,320,1.8386125589260005,0.012559657638646035,0.16477803581645964,0,240.35673000249213,338.97048726607807,0,12384.764954608452,-62.25327078547795,-14954.037361204333,4,0
570,998.5440402706272,0.0,33.157954856349214,7.3551506151114925,80.06584301271478,320,1.8943112932845505,0.014445494107160185,0.16481620711465608,0,239.4763231915016,338.71496752398866,0,12405.007902817817,-62.467565313718204,-14756.08794135215,5,0
580,998.4948651921841,0.0,33.729797290261466,7.3551997441170025,80.06699424239169,320,2.8777582694041293,0.015317911084739969,0.1585187912814104,0,237.8885367372297,340.4213554054127,0,12424.980757734957,-62.68047607449258,-14557.627564943456,6,0
590,998.4449492327549,0.0,34.301647413342984,7.35524961364558,80.0681250348219,320,4.091595164641337,0.016010858815191632,0.1503033929395948,0,236.41705497560721,339.479079034304,0,12444.682828277902,-62.891971077069286,-14358.663852235843,5,0
600,998.3942973425374,0.0,34.87350534034858,7.355300218766647,80.06922622744911,320,5.412046906384049,0.018210996677831767,0.15244993582795152,0,234.2858691595018,341.17039989317186,0,12464.11343373146,-63.10201753225942,-14159.204398241374,4,0
610,998.3429145449181,0.0,35.44537118526614,7.35535155447659,80.0703069896296,320,6.49761832895184,0.015711899948764943,0.12062120588415545,0,232.81487699490728,340.8469567414013,0,12483.27190371335,-63.3105818384416,-13959.256773494395,3,0
620,998.2908059359834,0.0,36.017245061305346,7.355403615699238,80.07138806784624,320,7.225429807233404,0.019694367215018615,0.08638038526555776,0,232.83763159871896,341.86648992081695,0,12502.157578141352,-63.51762956800366,-13758.828524799914,6,0
630,998.2379766840213,0.0,36.58912708088647,7.35545639728636,80.07248688510438,320,7.968739875632551,0.01954520913165168,0.08492472712766762,0,234.11484258663864,343.6403824879313,0,12520.769807201472,-63.72312545427679,-13557.927175963125,5,0
640,998.1844320290211,0.0,37.16101735562923,7.355509894018146,80.07357114296343,320,8.327201196115357,0.02693418645513542,0.056192682976102595,0,233.06656585044797,342.58133004265744,0,12539.107951317083,-63.92703337904367,-13356.560228500772,5,0
650,998.130177282158,0.0,37.73291599634175,7.355564100603724,80.07467795350034,320,8.69000605389368,0.026150734215314116,0.051360920173981035,0,234.69035865791236,344.1105579677983,0,12557.171381119031,-64.12931636070894,-13154.735162334628,4,0
660,998.0752178252842,0.0,38.30482311300956,7.355619011681661,80.07581068466186,320,8.63449829508358,0.03573388447958045,0.03566854122523589,0,236.55664362908365,344.98820381975315,0,12574.95947741668,-64.32993654322604,-12952.459436467798,3,0
670,998.0195591103939,0.0,38.87673881478469,7.355674621820481,80.07693023184885,320,8.184094244128529,0.04508218384240054,0.056172049047181344,0,235.60739746345263,345.0035201099189,0,12592.471631169834,-64.52885518588194,-12749.7404896442,6,0
680,997.9632066590993,0.0,39.44866320997482,7.355730925519189,80.07803292239744,320,7.3424058533370005,0.05419159067604495,0.08870951547361436,0,234.3937194990053,343.6769546903705,0,12609.707243461593,-64.72603265404726,-12546.585740991819,5,0
690,997.9061660620873,0.0,40.02059640603258,7.3557879172078,80.07911816019183,320,6.120119836280455,0.06314044741685,0.12584259617990473,0,233.13712119572006,342.34100790711256,0,12626.665725472038,-64.92142841100728,-12343.002590649969,6,0
700,997.8484429785794,0.0,40.59253850954486,7.355845591247878,80.08021491395472,320,4.5496341911221965,0.07142567325548989,0.1593329719160493,0,233.96627092746647,341.0032025533811,0,12643.346498452784,-65.11500101099587,-12138.998420381404,6,0
710,997.7900431357766,0.0,41.16448962622219,7.355903941933076,80.08130527025948,320,2.783291171088533,0.07624263898895423,0.17989641622121658,0,233.50565394224506,342.75319899354963,0,12659.748993702331,-65.30670809356216,-11934.580594169267,4,0
720,997.7309723283006,0.0,41.736449860888285,7.35596296348969,80.08237657411226,320,1.1796396461820475,0.07632673450371111,0.17933242009134753,0,232.13387740116045,341.75285246035946,0,12675.87265254226,-65.4965063794067,-11729.756458799702,3,0
730,997.6712364176274,0.0,42.308419317469586,7.356022650077212,80.08343118498814,320,1.2108269701324053,0.076608226059608,0.18209751499651985,0,230.93198306364724,342.88347064148115,0,12691.71692629416,-65.68435166783146,-11524.533344430183,5,0
740,997.6108413315187,0.0,42.88039809898494,7.3560829957889,80.08447348371912,320,2.8431839979431106,0.0764660519446375,0.1815526797773531,0,230.04550863062454,341.3863593831547,0,12707.281276257361,-65.87019883595566,-11318.918565144326,3,0
750,997.5497930634419,0.0,43.45238630753535,7.356143994652341,80.08550990229192,320,4.4643214817178505,0.07228173074850934,0.16581630507003536,0,229.62213724021535,342.7598240003245,0,12722.565173687406,-66.05400183985522,-11112.91941949327,4,0
760,997.4880976719824,0.0,44.02438404429381,7.356205640630032,80.08657676410421,320,5.928049377650703,0.06793857078272988,0.14816344600549636,0,231.8140504855424,340.79668258968906,0,12737.568099775235,-66.23571371779236,-10906.54319102421,4,0
770,997.4257612802548,0.0,44.596391409495205,7.356267927619961,80.08766801215864,320,7.110259598826467,0.06003851180700601,0.11900611230338136,0,233.5698599187872,340.835538951832,0,12752.2895456271,-66.41528659570744,-10699.79714879632,6,0
780,997.3627900753045,0.0,45.168408502426374,7.3563308494561985,80.08876631217285,320,8.244118680909912,0.059960797192832586,0.114785999756973,0,234.07760102349823,341.38708669100106,0,12766.729012245161,-66.5926716951503,-10492.688547884589,5,0
790,997.2991903075026,0.0,45.74043542141615,7.356394399909492,80.08984792333466,320,9.311294445789478,0.060194451571552676,0.11291537023259986,0,232.87600364936088,341.9598511441086,0,12780.886010508779,-66.76781934383632,-10285.22462987177,5,0
800,997.2349682899367,0.0,46.312472263825605,7.356458572687868,80.09093655912115,320,10.388850418938157,0.060341418611099956,0.1126651410304828,0,233.38177662726054,342.1213967419839,0,12794.760061156438,-66.94067898901481,-10077.41262332883,4,0
810,997.170130397787,0.0,46.8845191260383,7.356523361437242,80.09201045870338,320,10.975302215712803,0.04785639351225706,0.0658955887828398,0,232.3207699207841,341.25728983402144,0,12808.350694768353,-67.11119921384297,-9869.25974428436,4,0
820,997.1046830677169,0.0,47.456576103450665,7.35658875974203,80.09308132532647,320,11.550181239018846,0.04831827604540542,0.07020677656536307,0,232.10239686223167,339.9987559376657,0,12821.657451749681,-67.27932775696077,-9660.773196683065,5,0
830,997.0386327972292,0.0,48.02864329046248,7.356654761125775,80.09417116263407,320,12.132368045950976,0.04873590155111527,0.07301390396836403,0,233.46828614783132,338.8416162340907,0,12834.679882314378,-67.44501153546449,-9451.960172833871,4,0
840,996.9719861440399,0.0,48.600720780467455,7.356721359051767,80.09523430475642,320,12.18849645483936,0.0362486992870089,0.04825856760532393,0,231.54623280836648,340.12524400722884,0,12847.417546469613,-67.60819667147727,-9242.827853847768,6,0
850,996.9047497254314,0.0,49.172808665843846,7.356788546923682,80.09631397964675,320,11.764016133775621,0.024519482049994445,0.058214943380588184,0,232.73659210403324,341.1393068337506,0,12859.870014000828,-67.76882852251272,-9033.38341006588,5,0
860,996.8369302176116,0.0,49.7449070379452,7.356856318086217,80.09736973896725,320,10.786875831703842,0.014033563339366091,0.10470081983249431,0,231.01467107489466,342.08142786362436,0,12872.036864457341,-67.92685171582738,-8823.63400147789,5,0
870,996.768534355052,0.0,50.31701598709131,7.356924665825735,80.09844421070774,320,9.825602628888651,0.013625039449484172,0.10474025484560277,0,232.361965315395,341.3203051508847,0,12883.917687138512,-68.08221018695053,-8613.586778131259,4,0
880,996.6995689298346,0.0,50.88913560255904,7.356993583370919,80.09950572468296,320,8.4489048071912,0.01444906225330904,0.14649148871233914,0,231.42900621561736,341.8137668599807,0,12895.512081080475,-68.2348472225749,-8403.24888053142,5,0
890,996.6300407909866,0.0,51.461265972573464,7.357063063893424,80.10054220364894,320,7.102434968953893,0.013739617898617128,0.14486528543762858,0,229.62648555197023,340.7161141982002,0,12906.819655043404,-68.38470550798226,-8192.627440033331,4,0
900,996.5599568438083,0.0,52.03340718429898,7.357133100508545,80.10156479512112,320,5.486225660156679,0.018255404679162833,0.17442886622815226,0,228.62658599661597,342.1522851707418,0,12917.840027499306,-68.53172717916561,-7981.729579224468,6,0
910,996.4893240491929,0.0,52.605559323830555,7.357203686275878,80.102582101278,320,3.6844351818879946,0.023685738324992114,0.19962457444271858,0,228.24604329519696,343.71726696053895,0,12928.572826620322,-68.67585387979696,-7770.562412299848,5,0
920,996.4181494229551,0.0,53.17772247618508,7.3572748142,80.10357220817338,320,2.0828462158894534,0.025472787440717994,0.21001211029895203,0,226.28769646661905,343.2495604282329,0,12939.01769026755,-68.81702682317078,-7559.133045428975,6,0
930,996.3464400351313,0.0,53.74989672529287,7.357346477231146,80.10457993930582,320,1.8798405262943412,0.026434138911642275,0.21606147526904804,0,227.55664153568944,342.029633567525,0,12949.174265980355,-68.95518685923406,-7347.448577115269,5,0
940,996.2742030092959,0.0,54.32208215398914,7.35741866826589,80.1056054077677,320,3.341038133604729,0.023772330554659556,0.20549314973979635,0,228.83372925601086,343.53705490604875,0,12959.042210966154,-69.09027454679094,-7135.5160985480115,5,0
950,996.2014455218568,0.0,54.894278844005754,7.357491380147841,80.10660569562691,320,5.205420719298509,0.023908174334315038,0.20604455200237873,0,227.0207258637143,344.40251012825,0,12968.621192090695,-69.22223023094125,-6923.342693947245,3,0
960,996.1281748013571,0.0,55.46648687596294,7.357564605668337,80.10764001232627,320,6.918195947335882,0.017788369796021223,0.17952791305105884,0,229.47080235365553,345.1193894382139,0,12977.910885868783,-69.35099412578552,-6710.935440901659,4,0
970,996.0543981277597,0.0,56.038706329361176,7.357638337567141,80.10869309360633,320,8.229399616338718,0.009947909328095026,0.13658688836860472,0,230.82185216500423,342.8985970443859,0,12986.910978455478,-69.4765064023919,-6498.301410699919,5,0
980,995.9801228317401,0.0,56.6109372825732,7.357712568533155,80.10972596278128,320,9.10794111985589,0.011909769099357046,0.09673256848628066,0,229.36658059565747,342.4399078047166,0,12995.621165637725,-69.59870728198723,-6285.447668655494,4,0
990,995.9053562939616,0.0,57.18317981283604,7.357787291205128,80.11078266979615,320,9.610617074300626,0.019391093316262493,0.061264847596686677,0,231.08290507064225,343.69606923700337,0,13004.04115282643,-69.71753713429203,-6072.381274425294,4,0
1000,995.8301059443529,0.0,57.7554339962433,7.357862498172368,80.11187138074308,320,9.57444118770158,0.03297412015505493,0.0364397287105642,0,233.38718817864833,341.4784340292547,0,13012.170655048978,-69.8329365808768,-5859.109282322339,6,0
1010,995.7543792613806,0.0,58.32769990773737,7.357938181975472,80.11297485353221,320,9.061710471476067,0.04522228322409208,0.06385031439456369,0,234.45004081732688,340.5364388364578,0,13020.009396942136,-69.9448466033725,-5645.638741622654,6,0
1020,995.6781837713088,0.0,58.899977621101904,7.358014335107046,80.11409183558254,320,8.558790248343694,0.0452866293733592,0.06212643269802507,0,235.42270762393326,342.0191099297408,0,13027.55711274542,-70.05320865631624,-5431.976696866636,5,0
1030,995.6015270474672,0.0,59.472267208954385,7.35809095001244,80.11523853396226,320,7.714168509829868,0.05442174289748538,0.09363927876862203,0,237.5622833388606,341.80127465493155,0,13034.81354629483,-70.15796478436579,-5218.130188155045,6,0
1040,995.5244167095016,0.0,60.04456874273865,7.358168019090483,80.11639151248795,320,6.451148813939569,0.06576388826704212,0.13547864824374278,0,238.01445384994975,339.8760679565503,0,13041.778451017002,-70.25905774356131,-5004.106251439925,6,0
1050,995.4468604226277,0.0,60.61688229271776,7.358245534694226,80.11753745156035,320,4.932008412325604,0.07298800654902146,0.16189433258661087,0,237.5076132130558,339.480907272875,0,13048.451589923752,-70.35643112626009,-4789.911918810597,5,0
